NAME_EN,vote
Andorra,IN FAVOR
Antigua,IN FAVOR
Aruba,IN FAVOR
Barbuda,IN FAVOR
Curaçao,IN FAVOR
Australia,AGAINST
Bahrain,IN FAVOR
Belgium,IN FAVOR
Brussels Capital Region,IN FAVOR
Flemish Brabant,IN FAVOR
Falkland Islands,IN FAVOR
Walloon Brabant,IN FAVOR
Canada,AGAINST
Comoros,IN FAVOR
Denmark,IN FAVOR
Bornholm,IN FAVOR
Galápagos Province,IN FAVOR
Egypt,IN FAVOR
Estonia,AGAINST
Finland,AGAINST
France,AGAINST
Guadeloupe,IN FAVOR
Martinique,IN FAVOR
Corsica,IN FAVOR
Adjara,IN FAVOR
Germany,AGAINST
Grenada,IN FAVOR
Iceland,AGAINST
Ireland,IN FAVOR
Isle of Man,IN FAVOR
Northern Ireland,IN FAVOR
Italy,AGAINST
Japan,AGAINST
Kyushu,AGAINST
Shikoku,AGAINST
Hokkaido Prefecture,AGAINST
Honshu,AGAINST
Jordan,IN FAVOR
Kuwait,IN FAVOR
Latvia,AGAINST
Lebanon,IN FAVOR
Syria,IN FAVOR
Liechtenstein,IN FAVOR
Lithuania,AGAINST
Luxembourg,IN FAVOR
Maldives,IN FAVOR
Marshall Islands,IN FAVOR
Monaco,IN FAVOR
Nauru,IN FAVOR
Netherlands,AGAINST
New Zealand,AGAINST
North Island,AGAINST
South Island,AGAINST
Norway,IN FAVOR
Qatar,IN FAVOR
Romania,AGAINST
Russia,IN FAVOR
Kaliningrad Oblast,IN FAVOR
San Marino,IN FAVOR
Saudi Arabia,IN FAVOR
Sardinia,IN FAVOR
Sicily,AGAINST
Scotland,IN FAVOR
Seychelles,IN FAVOR
Spain,IN FAVOR
Balearic Islands,IN FAVOR
Sweden,AGAINST
Switzerland,AGAINST
Turkey,IN FAVOR
Tuvalu,IN FAVOR
United Kingdom,AGAINST
Montserrat,AGAINST
England,AGAINST
United States of America,AGAINST
Alaska,AGAINST
Wales,IN FAVOR
