NAME_EN,vote
Afghanistan,NO
Albania,NO
Algeria,NO
Andorra,NO
Angola,NO
Antigua,NO
Aruba,NO
Barbuda,NO
Curaçao,NO
Argentina,NO
Armenia,NO
Australia,YES
Austria,YES
Azerbaijan,NO
The Bahamas,NO
Bahrain,NO
Bangladesh,NO
Barbados,NO
Belarus,NO
Belgium,NO
Brussels Capital Region,NO
Flemish Brabant,NO
Falkland Islands,NO
Walloon Brabant,NO
Belize,NO
Benin,NO
Bhutan,NO
Bolivia,NO
Federation of Bosnia and Herzegovina,NO
Republika Srpska,NO
Botswana,NO
Brazil,NO
Brunei,NO
Bulgaria,NO
Burundi,NO
Cabo Verde,NO
Cambodia,NO
Cameroon,NO
Canada,YES
Central African Republic,NO
Chad,NO
Chile,NO
People's Republic of China,NO
Hainan,NO
Colombia,NO
Comoros,NO
Democratic Republic of the Congo,NO
Republic of the Congo,NO
Costa Rica,NO
Haiti,NO
Ivory Coast,NO
Croatia,NO
Cuba,NO
Cyprus,NO
Czech Republic,NO
Denmark,NO
Bornholm,NO
Djibouti,NO
Dominica,NO
Dominican Republic,NO
Ecuador,NO
Galápagos Province,NO
Egypt,NO
El Salvador,NO
Equatorial Guinea,NO
Eritrea,NO
Estonia,YES
Ethiopia,NO
Fiji,NO
Finland,YES
France,YES
New Caledonia,NO
Guadeloupe,NO
Martinique,NO
French Guiana,NO
Corsica,NO
Gabon,NO
The Gambia,NO
Georgia,NO
Adjara,NO
Germany,YES
Ghana,NO
Greece,NO
Grenada,NO
Guatemala,NO
Guinea-Bissau,NO
Guinea,NO
Guyana,NO
Honduras,NO
Hungary,NO
Iceland,YES
India,NO
Indonesia,NO
Iran,NO
Iraq,NO
Kurdistan Region,NO
Ireland,NO
Isle of Man,NO
Northern Ireland,NO
Israel,NO
Italy,YES
Jamaica,NO
Japan,YES
Kyushu,YES
Shikoku,YES
Hokkaido Prefecture,YES
Honshu,YES
Jordan,NO
Kazakhstan,NO
Baikonur,NO
Kenya,NO
North Korea,NO
South Korea,NO
Kuwait,NO
Kyrgyzstan,NO
Laos,NO
Latvia,YES
Lebanon,NO
Lesotho,NO
Liberia,NO
Libya,NO
Liechtenstein,NO
Lithuania,YES
Luxembourg,NO
Madagascar,NO
Malawi,NO
Malaysia,NO
Maldives,NO
Mali,NO
Malta,NO
Marshall Islands,NO
Mauritania,NO
Mauritius,NO
Mexico,NO
Federated States of Micronesia,NO
Moldova,NO
Monaco,NO
Mongolia,NO
Montenegro,NO
Morocco,NO
Mozambique,NO
Myanmar,NO
Namibia,NO
Nauru,NO
Nepal,NO
Netherlands,YES
Caribbean Netherlands,YES
New Zealand,YES
North Island,NO
South Island,NO
Nicaragua,NO
Nigeria,NO
Niger,NO
Norway,NO
North Macedonia,NO
Oman,NO
Pakistan,NO
Palau,NO
Panama,NO
Papua New Guinea,NO
Paraguay,NO
Peru,NO
Philippines,NO
Poland,NO
Portugal,NO
Qatar,NO
Romania,YES
Russia,NO
Kaliningrad Oblast,NO
Rwanda,NO
Saint Kitts and Nevis,NO
Saint Lucia,NO
Saint Vincent and the Grenadines,NO
Samoa,NO
San Marino,NO
Saudi Arabia,NO
Senegal,NO
Serbia,NO
Kosovo,NO
Vojvodina,NO
Sardinia,NO
Sicily,NO
Scotland,NO
Seychelles,NO
Sierra Leone,NO
Singapore,NO
Slovakia,NO
Slovenia,NO
Solomon Islands,NO
Somalia,NO
Puntland,NO
Sint Maarten,NO
South Africa,NO
South Sudan,NO
Spain,NO
Balearic Islands,NO
Sri Lanka,NO
Sudan,NO
Suriname,NO
Sweden,YES
Switzerland,YES
Syria,NO
Tajikistan,NO
Tanzania,NO
Thailand,NO
Togo,NO
Tonga,NO
Tobago,NO
Trinidad,NO
Tunisia,NO
Turkey,NO
Turkish Republic of Northern Cyprus,NO
Tuvalu,NO
Uganda,NO
Ukraine,NO
Crimea,NO
United Arab Emirates,NO
United Kingdom,YES
British Virgin Islands,YES
Virgin Islands,YES
Montserrat,YES
England,YES
United States of America,NO
Alaska,NO
Uruguay,NO
Uzbekistan,NO
Vanuatu,NO
Vietnam,NO
Wales,NO
Yemen,NO
Zambia,NO
Zimbabwe,NO
