NAME_EN,vote
Afghanistan,IN FAVOR
Albania,IN FAVOR
Algeria,IN FAVOR
Andorra,IN FAVOR
Angola,IN FAVOR
Antigua,IN FAVOR
Aruba,IN FAVOR
Barbuda,IN FAVOR
Curaçao,IN FAVOR
Argentina,IN FAVOR
Armenia,IN FAVOR
Australia,AGAINST
Austria,AGAINST
Azerbaijan,IN FAVOR
The Bahamas,IN FAVOR
Bahrain,IN FAVOR
Bangladesh,IN FAVOR
Barbados,IN FAVOR
Belarus,IN FAVOR
Belgium,IN FAVOR
Brussels Capital Region,IN FAVOR
Flemish Brabant,IN FAVOR
Falkland Islands,IN FAVOR
Walloon Brabant,IN FAVOR
Belize,IN FAVOR
Benin,IN FAVOR
Bhutan,IN FAVOR
Bolivia,IN FAVOR
Federation of Bosnia and Herzegovina,IN FAVOR
Republika Srpska,IN FAVOR
Botswana,IN FAVOR
Brazil,IN FAVOR
Brunei,IN FAVOR
Bulgaria,IN FAVOR
Burundi,IN FAVOR
Cabo Verde,IN FAVOR
Cambodia,IN FAVOR
Cameroon,IN FAVOR
Canada,AGAINST
Central African Republic,IN FAVOR
Chad,IN FAVOR
Chile,IN FAVOR
People's Republic of China,IN FAVOR
Hainan,IN FAVOR
Colombia,IN FAVOR
Comoros,IN FAVOR
Democratic Republic of the Congo,IN FAVOR
Republic of the Congo,IN FAVOR
Costa Rica,IN FAVOR
Haiti,IN FAVOR
Ivory Coast,IN FAVOR
Croatia,IN FAVOR
Cuba,IN FAVOR
Cyprus,IN FAVOR
Czech Republic,IN FAVOR
Denmark,IN FAVOR
Bornholm,IN FAVOR
Djibouti,IN FAVOR
Dominica,IN FAVOR
Dominican Republic,IN FAVOR
Ecuador,IN FAVOR
Galápagos Province,IN FAVOR
Egypt,IN FAVOR
El Salvador,IN FAVOR
Equatorial Guinea,IN FAVOR
Eritrea,IN FAVOR
Estonia,AGAINST
Ethiopia,IN FAVOR
Fiji,IN FAVOR
Finland,AGAINST
France,AGAINST
New Caledonia,IN FAVOR
Guadeloupe,IN FAVOR
Martinique,IN FAVOR
French Guiana,IN FAVOR
Corsica,IN FAVOR
Gabon,IN FAVOR
The Gambia,IN FAVOR
Georgia,IN FAVOR
Adjara,IN FAVOR
Germany,AGAINST
Ghana,IN FAVOR
Greece,IN FAVOR
Grenada,IN FAVOR
Guatemala,IN FAVOR
Guinea-Bissau,IN FAVOR
Guinea,IN FAVOR
Guyana,IN FAVOR
Honduras,IN FAVOR
Hungary,IN FAVOR
Iceland,AGAINST
India,IN FAVOR
Indonesia,IN FAVOR
Iran,IN FAVOR
Iraq,IN FAVOR
Kurdistan Region,IN FAVOR
Ireland,IN FAVOR
Isle of Man,IN FAVOR
Northern Ireland,IN FAVOR
Israel,IN FAVOR
Italy,AGAINST
Jamaica,IN FAVOR
Japan,AGAINST
Kyushu,AGAINST
Shikoku,AGAINST
Hokkaido Prefecture,AGAINST
Honshu,AGAINST
Jordan,IN FAVOR
Kazakhstan,IN FAVOR
Baikonur,IN FAVOR
Kenya,IN FAVOR
North Korea,IN FAVOR
South Korea,IN FAVOR
Kuwait,IN FAVOR
Kyrgyzstan,IN FAVOR
Laos,IN FAVOR
Latvia,AGAINST
Lebanon,IN FAVOR
Lesotho,IN FAVOR
Liberia,IN FAVOR
Libya,IN FAVOR
